Word,Difficulty
the,1
of,1
and,1
to,1
in,1
that,1
is,1
was,1
he,1
for,1
it,1
with,1
as,1
his,1
on,1
be,1
at,1
by,1
i,1
this,1
had,1
not,1
are,1
but,1
from,1
or,1
have,1
an,1
they,1
which,1
one,1
you,1
were,1
her,1
all,1
she,1
there,1
would,1
their,1
we,1
him,1
been,1
has,1
when,1
who,1
will,1
more,1
no,1
if,1
out,1
so,1
said,1
what,1
up,1
its,1
about,1
into,1
than,1
them,1
can,1
only,1
other,1
time,2
new,2
some,2
could,2
these,2
two,2
may,2
first,2
then,2
do,2
like,2
my,2
over,2
know,2
such,2
me,2
even,2
most,2
made,2
after,2
also,2
many,2
must,2
through,2
much,2
before,2
back,2
years,2
where,2
your,2
well,2
way,2
see,2
work,2
down,2
between,2
should,2
each,2
very,2
just,2
because,2
good,2
those,2
people,2
man,2
too,2
any,2
day,2
same,2
right,2
look,2
think,2
us,2
hand,2
go,2
want,2
here,2
take,2
thing,2
being,2
eye,2
another,2
great,2
old,2
house,2
own,2
came,2
give,2
ask,2
away,2
little,2
long,3
water,3
now,3
found,3
am,3
around,3
every,3
still,3
mother,3
father,3
world,3
near,3
night,3
morning,3
life,3
always,3
once,3
open,3
air,3
together,3
light,3
thought,3
both,3
set,3
under,3
ran,3
tree,3
important,3
sea,3
side,3
began,3
without,3
head,3
food,3
enough,3
girl,3
since,3
room,3
until,3
feet,3
real,3
face,3
white,3
children,3
boy,3
end,3
hard,3
might,3
home,3
soon,3
stood,3
last,3
keep,3
never,3
next,3
story,3
city,3
young,3
car,3
four,3
far,3
second,3
along,3
body,3
ever,3
told,3
loved,3
something,3
family,3
door,3
power,3
became,3
across,3
country,3
turn,3
late,3
full,3
during,3
present,3
force,3
mountain,3
stop,3
heard,3
horse,3
later,3
view,3
fire,3
wind,3
space,3
ground,3
form,3
public,3
problem,3
took,3
river,3
upon,3
voice,3
follow,3
sort,3
nothing,3
against,3
behind,3
name,3
form,3
boy,3
rest,3
moment,3
night,3
morning,3
girl,3
room,3
friend,3
began,3
live,3
week,3
day,3
part,3
leave,3
case,3
woman,3
over,3
think,3
certain,3
half,3
line,3
dark,3
north,3
book,3
heat,3
hands,3
letter,3
mouth,3
door,3
air,3
together,3
sun,3
garden,3
floor,3
close,3
mountain,3
light,3
country,3
father,3
mother,3
school,3
child,3
children,3
family,3
home,3
hand,3
eyes,3
head,3
voice,3
air,3
side,3
end,3
house,3
water,3
word,3
god,3
war,3
peace,3
love,3
king,3
queen,3
boy,3
girl,3
man,3
woman,3
father,3
mother,3
brother,3
sister,3
son,3
daughter,3
husband,3
wife,3
friend,3
enemy,3
doctor,3
teacher,3
student,3
soldier,3
artist,3
music,3
dance,3
song,3
poem,3
book,3
story,3
history,3
science,3
math,3
number,3
letter,3
word,3
name,3
place,3
time,3
year,3
month,3
week,3
day,3
hour,3
minute,3
second,3
morning,3
afternoon,3
evening,3
night,3
spring,3
summer,3
autumn,3
winter,3
north,3
south,3
east,3
west,3
air,3
water,3
fire,3
earth,3
stone,3
rock,3
sand,3
tree,3
plant,3
flower,3
grass,3
forest,3
field,3
hill,3
mountain,3
river,3
lake,3
sea,3
ocean,3
island,3
sky,3
cloud,3
rain,3
snow,3
wind,3
storm,3
sun,3
moon,3
star,3
light,3
dark,3
day,3
night,3
animal,3
bird,3
fish,3
insect,3
dog,3
cat,3
horse,3
cow,3
sheep,3
goat,3
pig,3
chicken,3
duck,3
lion,3
tiger,3
bear,3
wolf,3
fox,3
deer,3
rabbit,3
mouse,3
snake,3
bird,3
